systemThrouput,
4.893584452,5.012705238
4.902359028,5.017358313
4.898193333,5.023522878
4.906619591,5.02413559
4.900115634,4.99220368
4.895567098,4.994385623
4.905402259,4.993734485
4.896232391,5.010556831
4.892885008,5.03144116
4.90198599,4.986030348
4.893434679,4.997894389
4.897890826,5.00887997
4.891422297,4.99585951
4.894957022,5.007559009
4.897544653,5.024607819
4.910388385,5.004987234
4.889400728,5.021293946
4.900622143,5.019389514
4.900516219,5.005183428
4.904823671,5.008893621
4.905014698,5.013386444
4.904295057,5.005677594
4.896798627,5.002285747
4.89966286,5.002879604
4.897608297,5.037991638
4.895282755,5.019600313
4.899874209,5.005156658
4.892088468,5.019121859
4.899594528,4.990582334
4.896232497,5.006321456
4.902733063,5.005945866
4.898732237,5.015882918
4.88815521,5.034916295
4.905767867,5.020200756
4.89345814,5.020872055
4.901076726,4.998968047
4.891054471,5.006510141
4.894940292,5.025127398
4.906344121,4.998485652
4.891543814,5.015887288
4.906650022,5.009745933
4.91149661,5.007705875
4.890485527,5.02155237
4.896459455,5.041439301
4.892851177,5.011602259
4.899427697,5.028874872
4.903735646,5.00415531
4.899938088,5.015680334
4.891266248,5.017407206
4.901907098,5.029633229
4.900295978,4.999355883
4.89241609,5.018575492
4.895708182,5.022412327
4.8980419,5.017988111
4.90113852,5.019943582
4.912471981,5.003485528
4.900169756,5.006396083
4.898726261,5.028415095
4.898930968,5.007675236
4.897560431,5.003404781
4.912188202,5.033816282
4.898404156,5.009415036
4.907767923,5.009011833
4.901209987,5.020529271
4.903472823,4.999131463
4.899771181,4.995443428
4.903400064,5.011191026
4.898064627,5.001448683
4.893611581,5.015003614
4.902689145,5.022784374
4.900133268,5.007532294
4.912130517,4.99535611
4.897774104,5.035318386
4.903207129,5.028073704
4.905557281,5.003510327
4.909557725,5.023589605
4.910634133,5.014402039
4.9056078,5.009181935
4.913540445,5.011326451
4.904822437,5.002467084
4.903817602,5.000938279
4.900051779,5.028402076
4.905884181,5.021173983
4.901313498,5.026048951
4.912026003,5.004921682
4.907091302,5.017516658
4.903533045,5.016692085
4.904115468,5.010622433
4.904649316,5.02769216
4.91507165,5.005777942
