0,1,2,,,,AVG,STD
101.373672,119.4591593,127.8061785,,116.2130033,,,
100.3411814,113.0226718,122.1134635,,111.8257722,,,
108.8757576,118.849912,136.1690081,,121.2982259,,,
98.09248933,128.7712279,130.6165401,,119.1600858,,,
103.7714387,136.4182025,122.3281497,,120.8392637,,,
100.4548036,128.5918764,128.7991263,,119.2819354,,,
98.43618234,121.3652506,126.5759383,,115.4591237,,,
123.8711328,124.6875202,127.8186675,,125.4591068,,,
93.51018917,120.2705936,127.7967185,,113.8591671,,,
100.4324737,116.9241579,124.9449886,,114.1005401,,,
103.819665,129.675543,138.6766343,,124.0572808,,,
104.3608388,119.4867138,135.1993164,,119.6822897,,,
94.33912698,124.9378189,124.4196384,,114.5655281,,,
96.26619517,128.8747603,128.3643782,,117.8351112,,,
112.9371291,117.3877332,130.1039152,,120.1429259,,,
92.73807543,121.0710066,128.6654762,,114.1581861,,,
99.69990905,115.9753323,130.7693096,,115.481517,,,
93.74284644,121.5037413,142.2015019,,119.1493632,,,
99.06777598,119.2466758,126.3147329,,114.8763949,,,
101.537349,121.6740846,127.9872206,,117.0662181,,,
97.25742034,117.5550535,134.7455605,,116.5193448,,,
103.8067828,119.5348217,132.0567194,,118.466108,,,
97.30431641,117.4695402,123.7678107,,112.8472225,,,
104.7953957,121.337263,125.0876537,,117.0734375,,,
96.94036852,125.9904418,124.9144546,,115.9484217,,,
100.7594584,127.2153393,122.577134,,116.8506439,,,
106.5051164,114.5313881,120.9768585,,114.0044543,,,
95.65407606,139.8613443,132.8979326,,122.804451,,,
96.17201583,123.5474651,124.8825734,,114.8673515,,,
98.48838477,121.4125771,124.5491911,,114.8167177,,,
92.80974283,117.3371092,123.8785836,,111.3418119,,,
92.57138237,125.8311771,121.6338114,,113.3454569,,,
100.178785,127.8601498,123.9545063,,117.331147,,,
106.4318821,117.1879546,136.3190278,,119.9796215,,,
99.50448109,122.1398683,129.1184688,,116.9209394,,,
106.228395,122.9737569,130.6133263,,119.9384927,,,
114.9115317,121.5182304,131.7430325,,122.7242649,,,
101.8834002,138.9415223,129.1810887,,123.3353371,,,
112.343864,125.3464812,130.3881961,,122.6928471,,,
99.4719244,127.8512935,142.3597976,,123.2276718,,,
105.2213473,119.8098149,135.1879937,,120.073052,,,
124.043353,123.4963694,131.059068,,126.1995968,,,
100.0884778,120.8971883,127.9885815,,116.3247492,,,
106.1102749,120.8775336,128.608118,,118.5319755,,,
103.0823571,127.2237618,137.5099053,,122.6053414,,,
97.47777606,117.1363284,141.6599931,,118.7580325,,,
106.501548,128.7036334,122.143372,,119.1161845,,,
113.1518754,122.7258477,134.2042466,,123.3606566,,,
109.8930036,116.5723595,125.0488308,,117.171398,,,
97.96454676,127.8059685,125.2461128,,117.0055427,,,
